Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification STUDY,Classification AUS,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Typeofmanipulation(Tile/Survey),Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Field/Lab,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.823045268,,,1.495135977,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia gracilis,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Bowerbankia gracilis in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Amathia gracilis,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.411522634,,,0.504010235,6,6,PercentageCover,Invertebrates,Bryozoans,Tricellaria inopinata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Tricellaria inopinata,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.823045268,,,0.504010235,4.526748971,,,2.751360436,6,6,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.617283951,,,0.55211555,6.275720165,,,0.721632836,6,6,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.514403292,,,0.606908691,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides magnicoecum,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Botrylloides magnicoecum in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0.720164609,,,1.482338572,6,6,PercentageCover,Invertebrates,Ascidians,Botrylloides magnicoecum,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.205761317,,,0.504010235,0.102880659,,,0.252005118,6,6,PercentageCover,Invertebrates,Polychaetes,Spirobranchus taeniatus,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,Pomatoceros taeniata in dataset
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0.411522634,,,0.637528123,0.411522634,,,1.00802047,6,6,PercentageCover,Invertebrates,Polychaetes,Spirobranchus taeniatus,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,6.172839506,,,4.000457221,0.308641975,,,0.756015353,6,6,PercentageCover,Invertebrates,Polychaetes,Galeolaria caespitosa,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,8.64197531,,,7.355787216,1.234567901,,,1.789058857,6,6,PercentageCover,Invertebrates,Polychaetes,Galeolaria caespitosa,N,N,0.0121,0.0081,,Tile,Fixed,Floating,2m,2,Y,Exp2,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Deep,
Dafforn et al._2009,Dafforn et al.,2009,Biofouling,Yes,0,,,0,0,,,0,6,6,PercentageCover,Invertebrates,Bryozoans,Arachnopusia unicornis,N,N,0.0121,0.0081,,Tile,Fixed,Floating,0.5m,0.5,Y,Exp1,"Port Kembla, Site 1",12 weeks,84,12,2.761642625,Field,2006,October,34.4828° S,150.9033° E,Australia,Movement,Perspex,Vertical,,Yes,Shaded,Yes,raw data supplied and used,,,,Shallow,
