Study,Author,Year,Journal,Study on NIS?,MeanControl,upperSEControl,SEControl,SDControl,MeanTreatment,upperSETreatment,SETreatment,SDTreatment,ReplicatesControl,ReplicatesTreatment,Parameter,Group,TaxonomicGroup,Species,Classification STUDY,Classification AUS,Sizeoftilestandardisedperm2,Sizeofassessedareatandardisedperm2,Reporteddensityperm2,Typeofmanipulation(Tile/Survey),Control,Treatment,Depth,Depthmeter,End (Y/N),Experiment,Location,Duration,Durationdays,Durationweeks,Durationmonths,Field/Lab,Year (start),Month (start),Latitude,Longtitude,Country,Feature,SubstrateMaterial,Orientation,Movement,DepthHeldConstant,Shaded/Unshaded,Shading held constant,Source of data,ControlSubstrate,TreatmentSubstrate,Orientation_Detail,Notes_1,Notes_2
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.15625,,,0.349385621,0,,,0,5,5,PercentageCover,Algae,Red Algae,Laurencia,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.71875,,,3.423265984,0,,,0,5,5,PercentageCover,Algae,Red Algae,Laurencia,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0.3125,,,0.698771243,3,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.9375,,,0.349385621,1.40625,,,0.855816496,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.09375,,,0.427908248,0.9375,,,0.855816496,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.25,,,0.427908248,3.28125,,,3.240068961,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.9375,,,0.349385621,1.09375,,,0.698771243,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.78125,,,0.552427173,0.78125,,,0.78125,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0.9375,,,0.349385621,3,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.3125,,,0.698771243,1.40625,,,0.855816496,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.09375,,,0.427908248,1.25,,,0.427908248,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.9375,,,0.855816496,3.28125,,,3.240068961,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.9375,,,0.349385621,0.78125,,,0.552427173,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.09375,,,0.698771243,0.78125,,,0.78125,5,5,PercentageCover,Invertebrates,Poriferans,Leucandra,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,3.125,,,2.470529422,3,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,8.4375,,,4.891398701,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,43.75,,,14.78194369,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,30.625,,,23.24399284,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,10.625,,,6.191128986,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.15625,,,0.349385621,16.40625,,,22.4124817,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0,,,0,3,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,3.125,,,2.470529422,8.4375,,,4.891398701,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0,,,0,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,43.75,,,14.78194369,30.625,,,23.24399284,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0.15625,,,0.349385621,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,10.625,,,6.191128986,16.40625,,,22.4124817,5,5,PercentageCover,Invertebrates,Bivalves,Mytilus galloprovincialis,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0.15625,,,0.349385621,3,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.3125,,,0.698771243,0,,,0,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0.46875,,,1.048156864,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0,,,0,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.15625,,,0.349385621,0.46875,,,0.698771243,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0,,,0,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0.3125,,,0.698771243,3,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.15625,,,0.349385621,0,,,0,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0,,,0,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.46875,,,1.048156864,0,,,0,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.15625,,,0.349385621,0,,,0,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.46875,,,0.698771243,0,,,0,5,5,PercentageCover,Algae,Red Algae,Rhodymenia,N,N,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.78125,,,0.78125,0,,,0,3,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,6.5625,,,4.04443097,0,,,0,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.875,,,1.711632992,0.3125,,,0.698771243,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.625,,,0.855816496,0,,,0,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.875,,,1.307281291,0.3125,,,0.698771243,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.875,,,1.711632992,0,,,0,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.78125,,,0.78125,6.5625,,,4.04443097,3,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,0,,,0,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.875,,,1.711632992,0.625,,,0.855816496,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.3125,,,0.698771243,0,,,0,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp2,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 2,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.875,,,1.307281291,1.875,,,1.711632992,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,fixed,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0.3125,,,0.698771243,0,,,0,5,5,PercentageCover,Invertebrates,Bryozoans,Schizoporella errata,NIS,NIS,0.0225,0.0169,,Tile,vertical,downfacing,,,Y,Exp3,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Orientation,Concrete,,floating,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 3,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,0,,,0,1.25,,,2.795084972,3,5,PercentageCover,Invertebrates,Ascidians,Styela plicata,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,vertical,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
Glasby and Connell_2001,Glasby and Connell,2001,MEPS,N,1.71875,,,2.096313729,2.8125,,,3.00552876,5,5,PercentageCover,Invertebrates,Ascidians,Styela plicata,NIS,NIS,0.0225,0.0169,,Tile,Fixed,Floating,,,Y,Exp1,"Sydney Harbour, Site 2",7 months,212.9169,30.41668,7,Field,1998,June,33.8462° S,151.2489° E,Australia,Movement,Concrete,horizontal,,"No, but always submersed (0.25m pontoon, 1.5 below MLWS reef)",Underside/Shaded,Yes,raw data supplied and used,,,,Site 1,
